Longitude,Latitude,Hour,Date
-85.208272,34.990667,14,4/25/2020
-85.232602,35.124548,14,4/25/2020
-85.238351,35.043361,14,4/25/2020
-85.238351,35.043361,14,4/25/2020
-85.238351,35.043361,14,4/25/2020
-85.17511,35.022493,14,4/25/2020
-85.174239,35.02432,14,4/25/2020
-85.174239,35.02432,14,4/25/2020
-85.174239,35.02432,14,4/25/2020
-85.158111,35.043326,14,4/25/2020
-85.174239,35.02432,15,4/25/2020
-85.1652,35.016236,15,4/25/2020
-85.255515,35.027705,15,4/25/2020
-85.255515,35.027705,15,4/25/2020
-85.255515,35.027705,15,4/25/2020
-85.078919,35.034159,15,4/25/2020
-85.247577,35.170247,15,4/25/2020
-85.247577,35.170247,15,4/25/2020
-85.247577,35.170247,15,4/25/2020
-85.240984,35.037177,16,4/25/2020
-85.324453,35.148694,16,4/25/2020
-85.217016,34.989868,16,4/25/2020
-85.249902,34.997574,17,4/25/2020
-85.209894,34.998664,17,4/25/2020
-85.396116,35.003375,17,4/25/2020
-85.218813,35.024622,18,4/25/2020
-85.118643,35.004928,18,4/25/2020
-85.118643,35.004928,18,4/25/2020
-85.118643,35.004928,18,4/25/2020
-85.253741,35.063982,19,4/25/2020
-85.26894,35.016958,19,4/25/2020
-85.010293,35.016555,0,4/26/2020
-85.010293,35.016555,0,4/26/2020
-85.010293,35.016555,0,4/26/2020
-85.010293,35.016555,0,4/26/2020
-85.295686,35.005036,1,4/26/2020
-85.322834,35.198891,3,4/26/2020
-85.247752,35.04241,7,4/26/2020
-85.247752,35.04241,7,4/26/2020
-85.327181,35.10049,9,4/26/2020
-85.32771,35.10017,9,4/26/2020
-85.327039,35.0996,9,4/26/2020
-85.327039,35.0996,9,4/26/2020
-85.090679,35.038613,12,4/26/2020
-85.090679,35.038613,12,4/26/2020
-85.090679,35.038613,12,4/26/2020
-85.25984,35.116215,13,4/26/2020
-85.25984,35.116215,13,4/26/2020
-85.25984,35.116215,13,4/26/2020
-85.1497,35.00409,13,4/26/2020
-85.156981,35.038317,13,4/26/2020
-85.240453,35.037289,13,4/26/2020
-85.323702,35.02629,13,4/26/2020
-85.383913,35.017909,13,4/26/2020
-85.388406,35.012702,13,4/26/2020
-85.388406,35.012702,13,4/26/2020
-85.388406,35.012702,13,4/26/2020
-85.1497,35.00409,13,4/26/2020
-85.1497,35.00409,13,4/26/2020
-85.1497,35.00409,13,4/26/2020
-85.121582,35.006008,14,4/26/2020
-85.0667,35.059606,14,4/26/2020
-85.246285,35.070365,15,4/26/2020
-85.238835,35.135449,15,4/26/2020
-85.302606,35.052795,16,4/26/2020
-85.19034,35.073644,16,4/26/2020
-85.096629,35.299538,18,4/26/2020
-85.06329,35.08082,19,4/26/2020
-85.17019,35.040362,19,4/26/2020
-85.16932,35.040596,19,4/26/2020
-85.17019,35.040362,19,4/26/2020
-85.17019,35.040362,19,4/26/2020
-85.166745,35.276964,0,4/27/2020
-85.166745,35.276964,0,4/27/2020
-85.166745,35.276964,0,4/27/2020
-85.184238,35.012866,7,4/27/2020
