BLM,ELM,Route,ID NUMBER,Feature Type,Feature Composition
15.3,15.44,SR008,33SR008001,19,15
15.44,15.65,SR008,33SR008001,19,15
15.65,16.26,SR008,33SR008001,19,15
16.26,16.59,SR008,33SR008001,19,15
16.59,16.95,SR008,33SR008001,19,15
16.95,17.111,SR008,33SR008001,19,15
17.111,17.354,SR008,33SR008001,19,15
17.354,17.554,SR008,33SR008001,19,15
17.554,17.77,SR008,33SR008001,19,15
17.77,17.83,SR008,33SR008001,19,15
17.83,17.95,SR008,33SR008001,19,15
17.95,18.32,SR008,33SR008001,19,15
18.32,18.74,SR008,33SR008001,19,15
18.32,18.74,SR008,33SR008001,19,15
18.74,19.42,SR008,33SR008001,19,15
19.42,19.6,SR008,33SR008001,19,15
19.42,19.6,SR008,33SR008001,19,15
19.6,23.17,SR008,33SR008001,19,15
