Index,GridBlock,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
211,289,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
212,290,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0
213,291,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
214,303,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
215,304,0,0,0,0,1,0,1,6,2,1,1,2,2,2,3,1,0,1,2,2,0,0,0,0
216,305,0,1,0,0,0,0,0,8,1,0,0,2,1,1,2,2,7,1,4,0,1,1,0,0
217,308,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
218,309,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1
219,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
220,312,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0
221,314,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,0,0,0,2,1,0,0,0
222,316,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
223,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
224,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
225,319,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
226,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0
227,322,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0
228,323,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
229,324,0,0,0,0,0,1,1,0,4,1,0,2,6,3,2,0,8,3,1,0,4,0,0,0
230,325,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,3,3,0,0,2,0,0
231,326,0,0,0,0,0,1,0,1,0,1,2,1,0,2,0,3,1,0,1,1,0,0,0,0
232,327,0,1,0,0,0,0,0,0,0,4,0,2,1,3,1,3,0,2,2,1,0,1,0,0
233,328,0,0,0,0,0,2,1,1,3,0,5,3,2,3,4,2,10,4,2,2,1,0,0,0
234,329,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
235,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
236,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
237,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,0
238,333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
240,336,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0
241,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
242,344,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,348,1,0,0,0,0,0,0,1,0,0,0,1,2,4,2,3,0,2,0,1,2,0,0,0
244,349,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0
245,351,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,5,2,0,0,0,0,0,0,0
246,353,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,2,0,0,0,0,0,0,0,0
247,354,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
248,357,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,5,2,0,0,0,0,0
249,358,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
250,359,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,4,0,2,0,0,0
251,360,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,3,1,1,0,0,0,0,0,0
252,362,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0
253,365,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,2,0,0,0,0,0,0
254,367,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
255,368,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,3,0,1,1,0,0,0
256,370,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,371,1,0,0,0,0,1,1,1,10,1,5,4,4,4,3,3,13,11,2,3,2,1,0,1
258,372,0,0,0,0,0,0,0,0,4,1,2,7,11,7,6,10,7,4,6,4,1,2,0,0
259,373,0,0,0,0,0,0,1,0,0,1,3,3,3,8,7,8,4,1,1,2,1,1,0,1
260,374,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
