BLM,ELM,Sp. Case,Co. Seq.,ID_NUMBER,Sub Route,Ad_Sys,Gov_Cont,Func_Class,Inc Area Nbr,Urb Area Nbr,Sp Systems,State Aid Code
0.68,0.91,0,1,3303599001,0,18,4,17,52,52,,
0,1.72,0,1,3303600001,0,18,4,17,52,52,,
0,0.4,0,1,3303601001,0,18,4,16,52,52,,
0.4,0.74,0,1,3303601001,0,18,4,16,52,52,,
0.74,1.33,0,1,3303601001,0,31,4,16,52,52,,
1.33,2.9,0,1,3303601001,0,18,4,16,52,52,,
0,0.26,0,1,3303602001,0,18,4,17,52,52,,
0.26,0.73,0,1,3303602001,0,18,4,17,52,52,,
0.73,0.74,0,1,3303602001,0,18,4,17,52,52,,
0.74,0.84,0,1,3303602001,0,18,4,17,52,52,,
0.84,0.85,0,1,3303602001,0,25,4,17,52,52,,
0.85,0.9,0,1,3303602001,0,25,4,17,52,52,,
0.9,1.3,0,1,3303602001,0,25,4,17,52,52,,
1.3,1.33,0,1,3303602001,0,25,4,17,52,52,,
1.33,1.355,0,1,3303602001,0,25,4,17,52,52,,
1.355,1.43,0,1,3303602001,0,25,4,17,52,52,,
1.43,1.62,0,1,3303602001,0,25,4,17,52,52,,
0,2.23,0,1,3303603001,0,18,4,16,52,52,,
2.23,3.758,0,1,3303603001,0,18,4,16,52,52,,
3.758,4.08,0,1,3303603001,0,18,4,16,52,52,,
0,1.3,0,1,3303604001,0,18,4,17,52,52,,
1.3,1.99,0,1,3303604001,0,18,4,16,52,52,,
1.99,2.134,0,1,3303604001,0,18,4,16,52,52,,
2.134,2.837,0,1,3303604001,0,18,4,16,52,52,,
2.837,3.709,0,1,3303604001,0,18,4,16,52,52,22,33023
0,0.49,0,1,3303605001,0,18,4,16,52,52,,
0.49,1.35,0,1,3303605001,0,29,4,16,52,52,,
1.35,3.08,0,1,3303605001,0,18,4,16,52,52,,
0,1.78,0,1,3303607001,0,18,4,16,52,52,,
1.78,1.785,0,1,3303607001,0,18,4,16,52,52,,
0,1.25,0,1,3303608001,0,18,4,16,52,52,,
0,1.014,0,1,3303609001,0,18,4,16,89,52,,
1.014,1.5,0,1,3303609001,0,18,4,16,52,52,,
0,1.558,0,1,3303610001,0,18,4,16,89,52,,
1.558,2.07,0,1,3303610001,0,18,4,16,52,52,,
0,0.18,0,1,3303611001,0,18,4,16,89,52,,
0.18,0.997,0,1,3303611001,0,18,4,16,89,52,,
0.997,0.998,0,1,3303611001,0,18,4,16,89,52,,
0.998,1.05,0,1,3303611001,0,18,4,16,52,52,,
1.05,1.5,0,1,3303611001,0,18,4,16,52,52,,
1.5,1.61,0,1,3303611001,0,18,4,16,52,52,,
0,1.77,0,1,3303612001,0,18,4,17,52,52,,
0,0.26,0,1,3303613001,0,18,4,16,52,52,,
0.26,0.33,0,1,3303613001,0,18,4,16,52,52,,
0.33,0.78,0,1,3303613001,0,18,4,16,52,52,,
0.78,1.02,0,1,3303613001,0,18,4,16,52,52,,
1.02,1.144,0,1,3303613001,0,18,4,16,245,52,,
1.144,1.59,0,1,3303613001,0,18,4,16,52,52,,
1.59,1.7,0,1,3303613001,0,18,4,16,52,52,,
1.7,2.69,0,1,3303613001,0,18,4,16,52,52,,
0,0.51,0,1,3303614001,0,18,4,17,52,52,,
0.51,1.27,0,1,3303614001,0,18,4,17,52,52,,
