Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count
832,21,3,0,7,7
833,22,3,0,7,5
834,23,3,0,7,17
835,24,3,0,7,1
836,25,3,0,-1,-1
837,26,3,0,7,2
838,27,3,0,7,8
839,28,3,0,7,16
840,29,3,0,7,8
841,30,3,0,7,10
842,31,3,0,7,9
843,32,3,0,7,3
844,33,3,0,-1,-1
845,34,3,0,-1,-1
846,35,3,0,-1,-1
847,36,3,0,-1,-1
848,37,3,0,7,6
849,38,3,0,7,12
850,39,3,0,7,5
851,40,3,1,2,7
852,41,3,0,2,5
853,42,3,0,2,7
854,43,3,0,0,4
855,44,3,0,-1,1
856,45,3,0,7,-1
857,20,2,0,7,3
858,21,2,0,7,2
859,22,2,0,7,8
860,23,2,0,7,10
861,24,2,0,7,2
862,25,2,0,-1,-1
863,26,2,0,7,5
864,27,2,0,7,11
865,28,2,0,7,14
866,29,2,0,7,7
867,30,2,0,7,10
868,31,2,0,7,15
869,32,2,0,7,7
870,33,2,0,7,3
871,34,2,0,7,6
872,35,2,0,7,4
873,36,2,0,7,5
874,37,2,0,7,8
875,38,2,0,0,5
876,39,2,0,0,3
877,40,2,1,0,5
878,41,2,1,0,6
879,42,2,0,4,1
880,43,2,0,-1,-1
881,44,2,0,-1,1
882,45,2,0,0,1
883,23,1,0,7,18
884,24,1,0,7,3
885,25,1,0,-1,-1
886,26,1,0,0,5
887,27,1,0,7,9
888,28,1,0,0,9
889,29,1,0,0,2
890,30,1,0,7,12
891,31,1,0,7,9
892,32,1,0,7,7
893,33,1,0,7,4
894,34,1,0,7,9
895,35,1,0,7,13
896,36,1,0,7,11
897,37,1,0,0,4
898,38,1,0,0,1
899,39,1,0,7,1
900,40,1,0,0,4
901,41,1,1,0,5
902,42,1,0,-1,-1
903,43,1,0,-1,-1
904,44,1,0,-1,-1
905,45,1,0,-1,-1
